Meetdatum,Stroom 1 (kWh),Stroom 2 (kWh),Teruglevering 1 (kWh),Teruglevering 2 (kWh),Gas 1 (m3),Opmerkingen
22 sep. 2019,6.217,6.046,,,4.222,Smartmeter
21 sep. 2019,6.205,6.046,,,4.221,Smartmeter
20 sep. 2019,6.203,6.039,,,4.220,Smartmeter
19 sep. 2019,6.201,6.022,,,4.219,Smartmeter
18 sep. 2019,6.199,6.017,,,4.219,Smartmeter
17 sep. 2019,6.197,6.012,,,4.218,Smartmeter
16 sep. 2019,6.195,6.008,,,4.218,Smartmeter
15 sep. 2019,6.173,6.008,,,4.216,Smartmeter
14 sep. 2019,6.165,6.008,,,4.216,Smartmeter
13 sep. 2019,6.162,6.003,,,4.215,Smartmeter
12 sep. 2019,6.161,5.996,,,4.214,Smartmeter
11 sep. 2019,6.159,5.980,,,4.213,Smartmeter
10 sep. 2019,6.157,5.975,,,4.213,Smartmeter
9 sep. 2019,6.155,5.969,,,4.212,Smartmeter
8 sep. 2019,6.134,5.969,,,4.211,Smartmeter
7 sep. 2019,6.125,5.969,,,4.211,Smartmeter
6 sep. 2019,6.123,5.962,,,4.210,Smartmeter
5 sep. 2019,6.121,5.957,,,4.209,Smartmeter
4 sep. 2019,6.119,5.941,,,4.208,Smartmeter
3 sep. 2019,6.117,5.935,,,4.207,Smartmeter
2 sep. 2019,6.115,5.930,,,4.207,Smartmeter
1 sep. 2019,6.098,5.930,,,4.206,Smartmeter
31 aug. 2019,6.089,5.930,,,4.206,Smartmeter
30 aug. 2019,6.087,5.924,,,4.205,Smartmeter
29 aug. 2019,6.085,5.919,,,4.205,Smartmeter
28 aug. 2019,6.082,5.901,,,4.204,Smartmeter
27 aug. 2019,6.080,5.894,,,4.204,Smartmeter
26 aug. 2019,6.078,5.888,,,4.203,Smartmeter
25 aug. 2019,6.060,5.888,,,4.202,Smartmeter
24 aug. 2019,6.053,5.888,,,4.202,Smartmeter
23 aug. 2019,6.051,5.882,,,4.201,Smartmeter
22 aug. 2019,6.049,5.877,,,4.200,Smartmeter
21 aug. 2019,6.046,5.860,,,4.199,Smartmeter
20 aug. 2019,6.043,5.853,,,4.199,Smartmeter
19 aug. 2019,6.041,5.846,,,4.198,Smartmeter
18 aug. 2019,6.021,5.846,,,4.198,Smartmeter
17 aug. 2019,6.013,5.846,,,4.197,Smartmeter
16 aug. 2019,6.011,5.840,,,4.197,Smartmeter
15 aug. 2019,6.009,5.834,,,4.196,Smartmeter
14 aug. 2019,6.006,5.817,,,4.196,Smartmeter
13 aug. 2019,6.003,5.812,,,4.195,Smartmeter
12 aug. 2019,6.001,5.806,,,4.194,Smartmeter
11 aug. 2019,5.982,5.806,,,4.193,Smartmeter
10 aug. 2019,5.975,5.806,,,4.193,Smartmeter
9 aug. 2019,5.974,5.803,,,4.193,Smartmeter
8 aug. 2019,5.973,5.800,,,4.192,Smartmeter
7 aug. 2019,5.972,5.798,,,4.192,Smartmeter
6 aug. 2019,5.971,5.795,,,4.192,Smartmeter
5 aug. 2019,5.969,5.793,,,4.192,Smartmeter
4 aug. 2019,5.966,5.793,,,4.192,Smartmeter
3 aug. 2019,5.960,5.793,,,4.192,Smartmeter
2 aug. 2019,5.958,5.789,,,4.191,Smartmeter
1 aug. 2019,5.957,5.785,,,4.191,Smartmeter
31 jul. 2019,5.956,5.781,,,4.190,Smartmeter
30 jul. 2019,5.954,5.777,,,4.190,Smartmeter
29 jul. 2019,5.952,5.774,,,4.190,Smartmeter
28 jul. 2019,5.946,5.774,,,4.190,Smartmeter
27 jul. 2019,5.939,5.774,,,4.189,Smartmeter
26 jul. 2019,5.938,5.769,,,4.189,Smartmeter
25 jul. 2019,5.936,5.766,,,4.188,Smartmeter
24 jul. 2019,5.934,5.762,,,4.188,Smartmeter
23 jul. 2019,5.933,5.758,,,4.188,Smartmeter
22 jul. 2019,5.932,5.755,,,4.187,Smartmeter
21 jul. 2019,5.925,5.755,,,4.187,Smartmeter
20 jul. 2019,5.919,5.755,,,4.186,Smartmeter
19 jul. 2019,5.917,5.749,,,4.185,Smartmeter
18 jul. 2019,5.915,5.744,,,4.185,Smartmeter
17 jul. 2019,5.912,5.729,,,4.185,Smartmeter
16 jul. 2019,5.911,5.723,,,4.184,Smartmeter
15 jul. 2019,5.909,5.718,,,4.183,Smartmeter
14 jul. 2019,5.890,5.718,,,4.182,Smartmeter
13 jul. 2019,5.883,5.718,,,4.182,Smartmeter
12 jul. 2019,5.881,5.713,,,4.181,Smartmeter
11 jul. 2019,5.879,5.708,,,4.181,Smartmeter
10 jul. 2019,5.877,5.692,,,4.180,Smartmeter
9 jul. 2019,5.875,5.687,,,4.179,Smartmeter
8 jul. 2019,5.872,5.682,,,4.179,Smartmeter
7 jul. 2019,5.855,5.682,,,4.178,Smartmeter
6 jul. 2019,5.844,5.682,,,4.177,Smartmeter
5 jul. 2019,5.842,5.677,,,4.177,Smartmeter
4 jul. 2019,5.839,5.659,,,4.176,Smartmeter
3 jul. 2019,5.837,5.655,,,4.175,Smartmeter
2 jul. 2019,5.836,5.650,,,4.175,Smartmeter
1 jul. 2019,5.834,5.643,,,4.175,Smartmeter
30 jun. 2019,5.817,5.643,,,4.174,Smartmeter
29 jun. 2019,5.810,5.643,,,4.174,Smartmeter
28 jun. 2019,5.807,5.638,,,4.173,Smartmeter
27 jun. 2019,5.806,5.633,,,4.172,Smartmeter
26 jun. 2019,5.803,5.617,,,4.172,Smartmeter
25 jun. 2019,5.802,5.612,,,4.171,Smartmeter
24 jun. 2019,5.799,5.608,,,4.170,Smartmeter
23 jun. 2019,5.779,5.608,,,4.170,Smartmeter
22 jun. 2019,5.772,5.608,,,4.169,Smartmeter
21 jun. 2019,5.770,5.603,,,4.168,Smartmeter
20 jun. 2019,5.769,5.597,,,4.168,Smartmeter
19 jun. 2019,5.767,5.580,,,4.167,Smartmeter
18 jun. 2019,5.764,5.574,,,4.167,Smartmeter
17 jun. 2019,5.762,5.569,,,4.166,Smartmeter
16 jun. 2019,5.740,5.569,,,4.165,Smartmeter
15 jun. 2019,5.733,5.569,,,4.165,Smartmeter
14 jun. 2019,5.729,5.562,,,4.164,Smartmeter
13 jun. 2019,5.728,5.557,,,4.164,Smartmeter
12 jun. 2019,5.726,5.540,,,4.163,Smartmeter
11 jun. 2019,5.724,5.535,,,4.162,Smartmeter
10 jun. 2019,5.715,5.535,,,4.162,Smartmeter
9 jun. 2019,5.694,5.535,,,4.161,Smartmeter
8 jun. 2019,5.688,5.535,,,4.161,Smartmeter
7 jun. 2019,5.686,5.530,,,4.160,Smartmeter
6 jun. 2019,5.684,5.523,,,4.160,Smartmeter
5 jun. 2019,5.683,5.505,,,4.160,Smartmeter
4 jun. 2019,5.680,5.499,,,4.159,Smartmeter
3 jun. 2019,5.679,5.495,,,4.159,Smartmeter
2 jun. 2019,5.661,5.495,,,4.158,Smartmeter
1 jun. 2019,5.652,5.495,,,4.158,Smartmeter
1 mei 2019,5.551,5.392,,,4.113,Smartmeter
1 apr. 2019,5.400,5.224,,,4.033,Smartmeter
1 mrt. 2019,5.194,5.044,,,3.849,Smartmeter
1 feb. 2019,5.018,4.861,,,3.661,Smartmeter
1 jan. 2019,4.817,4.649,,,3.358,Smartmeter
1 dec. 2018,4.572,4.479,,,3.131,Smartmeter
1 nov. 2018,4.386,4.285,,,2.919,Smartmeter
1 okt. 2018,4.246,4.127,,,2.843,Smartmeter
24 sep. 2018,4.222,4.082,0,0,2.828,Jaarafrekening
1 sep. 2018,4.117,4.000,,,2.810,Smartmeter
1 aug. 2018,3.984,3.864,,,2.790,Smartmeter
1 jul. 2018,3.839,3.722,,,2.771,Smartmeter
1 mei 2018,3.543,3.448,,,2.723,Smartmeter
1 mrt. 2018,3.167,3.092,,,2.405,Smartmeter
1 jan. 2018,2.789,2.692,,,1.862,Smartmeter
1 nov. 2017,2.311,2.278,,,1.424,Smartmeter
25 sep. 2017,2.100,2.044,0,0,1.358,Jaarafrekening
1 sep. 2017,1.935,1.910,,,1.333,Smartmeter
1 jul. 2017,1.632,1.614,,,1.305,Smartmeter
1 mei 2017,1.332,1.296,,,1.246,Smartmeter
1 mrt. 2017,915,935,,,1.020,Smartmeter
1 jan. 2017,518,504,,,489,Smartmeter
1 nov. 2016,79,54,,,47,Smartmeter
21 okt. 2016,0,0,0,0,0,Inbouwstand
20 okt. 2016,36.876,45.234,,,21.304,Uitbouwstand
13 sep. 2016,36.635,44.990,,,21.240,Jaarafrekening
