index,S1,C1,Fourier_1
2021-05-29,-0.7795464733219583,0.7151419206400564,-0.06440455268190182
2021-05-28,-0.7999684777790826,0.7070040596171366,-0.092964418161946
2021-05-27,-0.820153758693377,0.6986569847183748,-0.12149677397500225
2021-05-26,-0.8400963429154694,0.6901031659775244,-0.149993176937945
2021-05-25,-0.8597903291138427,0.6813451346071691,-0.17844519450667362
2021-05-24,-0.8792298895211342,0.6723854822496944,-0.20684440727143982
2021-05-23,-0.8984092716586678,0.6632268602103799,-0.2351824114482879
2021-05-22,-0.9173228000387024,0.6538719786728351,-0.2634508213658673
2021-05-21,-0.9359648778439011,0.6443236058970121,-0.29164127194688905
2021-05-20,-0.954329988583519,0.6345845674000342,-0.3197454211834848
2021-05-19,-0.9724126977258214,0.6246577451200789,-0.3477549526057425
2021-05-18,-0.9902076543062508,0.6145460765635657,-0.37566157774268505
2021-05-17,-1.0077095925108617,0.6042525539359018,-0.40345703857495985
2021-05-16,-1.0249133332345608,0.5937802232560393,-0.4311331099785215
2021-05-15,-1.0418137856136858,0.5831321834551101,-0.4586816021585757
2021-05-14,-1.0584059485324753,0.5723115854594021,-0.4860943630730732
2021-05-13,-1.0746849121029796,0.5613216312579486,-0.5133632808450309
2021-05-12,-1.0906458591179748,0.5501655729550093,-0.5404802861629655
2021-05-11,-1.1062840664764533,0.5388467118077194,-0.5674373546687339
2021-05-10,-1.1215949065812618,0.5273683972491955,-0.5942265093320663
2021-05-09,-1.136573848708486,0.5157340258973843,-0.6208398228111017
2021-05-08,-1.151216460348162,0.5039470405499474,-0.6472694197982146
2021-05-07,-1.1655184085159296,0.49201092916548356,-0.6735074793504461
2021-05-06,-1.1794754610352294,0.4799292238313846,-0.6995462372038448
2021-05-05,-1.193083487789673,0.4677054997186356,-0.7253779880710374
2021-05-04,-1.2063384619452124,0.45534337402386155,-0.750995087921351
2021-05-03,-1.2192364611417423,0.44284650489894367,-0.7763899562427987
2021-05-02,-1.2317736686537921,0.43021859036851107,-0.801555078285281
2021-05-01,-1.2439463745199544,0.4174633672356369,-0.8264830072843175
2021-04-30,-1.2557509766407238,0.4045846099760576,-0.8511663666646662
2021-04-29,-1.2671839818444146,0.39158612962124595,-0.8755978522231687
2021-04-28,-1.2782420069208476,0.37847177263066467,-0.8997702342901829
2021-04-27,-1.2889217796224963,0.36524541975353664,-0.9236763598689597
2021-04-26,-1.2992201396327974,0.3519109848804696,-0.9473091547523278
2021-04-25,-1.3091340395013389,0.3384724138852733,-0.9706616256160656
2021-04-24,-1.318660545545651,0.32493368345731055,-0.9937268620883405
2021-04-23,-1.3277968387193277,0.31129879992473264,-1.016498038794595
2021-04-22,-1.3365402154462303,0.2975717980689411,-1.0389684173772893
