index,teruglevering,teruglevering_int_1,teruglevering_sc,teruglevering_int_1_sc,temp_sc,zonneschijn_sc,sin365_1,cos365_1,sin365_2,cos365_2,sin365_3,cos365_3
2021-01-12,4.0,4.0,-0.5966743927062649,-0.588770569789296,-0.7937555465372096,0.017167119629788726,0.20496611396949532,0.9787690698649216,0.4012289854475009,0.9159777842484877,0.580454927809098,0.8142923779467267
2021-01-11,0.0,0.0,-1.1274026414138891,-1.1479985880202601,-0.7937555465372096,-1.1465828847474646,0.18809941761179758,0.9821499931752291,0.3694836834473831,0.9292372181882051,0.5376773767406141,0.8431506618282
2021-01-10,1.0,1.0,-0.9947205792369831,-1.008191583462519,-1.3114975773773017,-0.7670991876679254,0.17117705961019986,0.985240282501282,0.3373010691361842,0.9413968285264122,0.49346814167723735,0.8697638720650646
2021-01-09,4.0,4.0,-0.5966743927062649,-0.588770569789296,-1.3600358927685603,-0.10932744606339098,0.1542040475626894,0.988039023376751,0.3047192331091634,0.9524422234305676,0.44794493940789115,0.8940611451454876
2021-01-08,2.0,2.0,-0.862038517060077,-0.868384578904778,-1.3276770158410545,-0.2358220117565707,0.13718540405660057,0.9905453876091833,0.2717767384711357,0.9623603298276545,0.4012289854475009,0.9159777842484877
2021-01-07,0.0,0.0,-1.1274026414138891,-1.1479985880202601,-1.1497031927397727,-1.0706861453315568,0.1201261651823505,0.9927586335250793,0.23851257519407648,0.9711394088771653,0.3534446712740877,0.9354554315134164
2021-01-06,0.0,0.0,-1.1274026414138891,-1.1479985880202601,-1.24677982352229,-1.1971807110247363,0.10303137904317879,0.9946781061893646,0.20496611396949532,0.9787690698649216,0.3047192331091634,0.9524422234305676
2021-01-05,0.0,0.0,-1.1274026414138891,-1.1479985880202601,-1.1497031927397727,-1.1971807110247363,0.08590610426133272,0.9963032375991965,0.17117705961019986,0.985240282501282,0.2551824131233728,0.9668929289391521
2021-01-04,0.0,0.0,-1.1274026414138891,-1.1479985880202601,-1.1497031927397727,-1.1971807110247363,0.06875540848113941,0.9976335468520451,0.13718540405660057,0.9905453876091833,0.20496611396949532,0.9787690698649216
2021-01-03,0.0,0.0,-1.1274026414138891,-1.1479985880202601,-1.0526265619572555,-1.0959850584701927,0.051584366869408364,0.9986686402879997,0.10303137904317879,0.9946781061893646,0.1542040475626894,0.988039023376751
2021-01-02,0.0,0.0,-1.1274026414138891,-1.1479985880202601,-1.0526265619572555,-1.1971807110247363,0.03439806061360801,0.9994082116062598,0.06875540848113941,0.9976335468520451,0.10303137904317879,0.9946781061893646
2021-01-01,2.0,2.0,-0.862038517060077,-0.868384578904778,-1.2953181389135486,-0.38761549058838635,0.017201575418260506,0.9998520419557735,0.03439806061360801,0.9994082116062598,0.051584366869408364,0.9986686402879997
2020-12-31,1.0,1.0,-0.9947205792369831,-1.008191583462519,-1.262959261986043,-0.8176970139451973,0.012901459949419653,0.9999167727021953,0.02580077239154065,0.9996671046623471,0.03869579017652769,0.999251037438848
2020-12-30,1.0,1.0,-0.9947205792369831,-1.008191583462519,-1.0040882465659968,-0.15992527234066287,-0.004300592702981974,0.9999907524084426,-0.008601105865714402,0.9999630098048061,-0.012901459949423296,0.9999167727021951
2020-12-29,0.0,0.0,-1.1274026414138891,-1.1479985880202601,-1.0040882465659968,-0.9188926664997411,-0.021501372740813793,0.999768818762748,-0.04299280405372191,0.9990753819405211,-0.0644643571073619,0.9979200101524843
2020-12-28,2.0,2.0,-0.862038517060077,-0.868384578904778,-1.0202676850297498,-0.514110056281566,-0.03869579017652689,0.9992510374388481,-0.07733361695682096,0.9970052716452285,-0.11585560376947857,0.9932660666081418
2020-12-27,0.0,0.0,-1.1274026414138891,-1.1479985880202601,-0.7775761080734567,-1.1971807110247363,-0.05587875690537313,0.9984375616565666,-0.11158289958600157,0.9937551290534204,-0.16693835946505894,0.9859673342150412
2020-12-26,0.0,0.0,-1.1274026414138891,-1.1479985880202601,-0.858473300392221,-0.944191579638377,-0.07304518821104743,0.9973286321364752,-0.14570011528535065,0.9893288009584253,-0.21757660514828095,0.9760432474496963
2020-12-25,1.0,1.0,-0.9947205792369831,-1.008191583462519,-1.0040882465659968,0.0677649459070606,-0.09019000427034513,0.9959245770286599,-0.179644883710313,0.9837315262594303,-0.26763550537876996,0.9635202313707016
2020-12-24,0.0,0.0,-1.1274026414138891,-1.1479985880202601,-0.729037792682198,-0.944191579638377,-0.10730813165636247,0.9942258118156161,-0.21337702862092797,0.9769699297608415,-0.3169817673505313,0.9484316312562195
2020-12-23,0.0,0.0,-1.1274026414138891,-1.1479985880202601,0.015216376650434241,-1.1465828847474646,-0.12439450483979998,0.9922328391893008,-0.2468566254334839,0.9690520143313219,-0.3654839958133111,0.9308176238148564
2020-12-22,0.0,0.0,-1.1274026414138891,-1.1479985880202601,-0.0009630618133186345,-1.1971807110247363,-0.14144406768794202,0.9899462489023779,-0.2800440484743445,0.9599871514317777,-0.41301304294128083,0.9107251102063585
2020-12-21,0.0,0.0,-1.1274026414138891,-1.1479985880202601,-0.3569107080158819,-1.1971807110247363,-0.15845177496083632,0.9873667175937016,-0.3129000178799537,0.949786070023521,-0.4594423522174453,0.888207591156989
2020-12-20,1.0,1.0,-0.9947205792369831,-1.008191583462519,-0.2760135156971175,-0.8682948402224692,-0.17541259380427843,0.9844950085880858,-0.345385646087603,0.9384608438697104,-0.5046482954181549,0.8633250245020995
2020-12-19,2.0,2.0,-0.862038517060077,-0.868384578904778,-0.17893688491460027,-0.6153057088361098,-0.19232150523909483,0.9813319716704275,-0.3774624838618108,0.9260248772451376,-0.5485105018003629,0.8361436655352441
2020-12-18,2.0,2.0,-0.862038517060077,-0.868384578904778,-0.2760135156971175,-0.0587296197861191,-0.20917350564635637,0.9778785428342386,-0.40909256580197667,0.9124928890712274,-0.5909121786151558,0.8067358905889153
2020-12-17,1.0,1.0,-0.9947205792369831,-1.008191583462519,-0.19511632337835313,-0.8429959270838333,-0.22596360824801906,0.974135744004672,-0.4402384552773285,0.8978808954950716,-0.6317404220940748,0.775180004316675
2020-12-16,3.0,3.0,-0.7293564548831709,-0.728577574347037,-0.2921929541608704,0.42194972984796375,-0.2426868445825954,0.9701046827361175,-0.4708632887360563,0.8822061909330864,-0.6708865180801575,0.741560031189844
2020-12-15,1.0,1.0,-0.9947205792369831,-1.008191583462519,-0.21129576184210602,-0.944191579638377,-0.2593382659754056,0.9657865518844574,-0.5009308193361626,0.8654873276017395,-0.7082462315032508,0.7059654917638989
2020-12-14,0.0,0.0,-1.1274026414138891,-1.1479985880202601,-0.09803969259583589,-1.0200883190542849,-0.27591294500296043,0.9611826292540837,-0.5304054598463659,0.8477440935595867,-0.7437200839287426,0.6684911643103625
2020-12-13,0.0,0.0,-1.1274026414138891,-1.1479985880202601,-0.615781723435928,-0.9947894059156489,-0.29240597695107734,0.9562942772197719,-0.5592523247663436,0.828997489286572,-0.7772136184407381,0.6292368324488442
2020-12-12,0.0,0.0,-1.1274026414138891,-1.1479985880202601,-0.745217231145951,-1.1971807110247363,-0.30881248126625377,0.9511229423235357,-0.587437271616382,0.8092697028283593,-0.8086376511543116,0.5883070194512706
2020-12-11,1.0,1.0,-0.9947205792369831,-1.008191583462519,-1.24677982352229,-1.1971807110247363,-0.3251276029999093,0.9456701548465688,-0.6149269413476359,0.7885840835350667,-0.8379085086871808,0.5458107099257257
