Date,teruglevering,zonneschijn,zonneschijn_sc,teruglevering_rev
2021-05-30,1.0931687494313618,147,0.7258304319163149,164.85788298213072
2021-05-31,0.832419161386084,140,0.5818397794308922,152.18173293480922
2021-06-01,0.9488089773095081,152,0.8286808979773311,157.83993850163552
2021-06-02,0.7541161647464366,139,0.5612696862186889,148.3750901630986
2021-06-03,0.2110577588580876,95,-0.3438144151182542,121.97470391855894
2021-06-04,0.38330137338774356,106,-0.11754338978401846,130.34820095392834
2021-06-05,-1.04954513554969,3,-2.2362629906409532,60.69141845148472
