index,teruglevering,teruglevering_int_1,teruglevering_sc,teruglevering_int_1_sc,temp_sc,zonneschijn_sc,sin365_1,cos365_1,pred_fourier1,pred_fourier1_rev,pred_zon1,pred_zon1_rev,pred_zon2,pred_zon2_rev,teruglevering_sqrt_sc,zonneschijn_sc2,temp_sc2,pred_zon3,pred_zon3_rev,pred_zon3_sqrd,sin365_2,cos365_2,sin365_3,cos365_3,pred_zon_fourier,pred_zon_fourier_sqrd,pred_zon_temp,pred_zon_temp_rev
2021-04-23,21.0,21.0,1.658920664301138,1.7879485076923012,-0.470166777262152,1.5098029948093092,0.9312100364121947,-0.3644830148102912,0.3823417833991952,10.946092266696242,0.9590095224381079,15.07083366190113,0.9899547544663981,15.292176162773536,1.38786672494271,1.5098029948093092,-0.470166777262152,0.9745735603360997,3.9619162394657708,15.696780288542595,-0.6788204829862355,-0.734304263829602,-0.4363729641045924,0.8997658785476209,4.237602139387838,17.95727189174438,0.940173715241527,14.936106455233872
2021-04-22,14.0,14.0,0.7301462290627957,0.8092994757881141,-0.4378079003346463,0.32075407729342004,0.9373419384643772,-0.3484108069446808,1.7641265604288066,20.82960834230837,0.9036504011429574,14.674865509445027,0.8792794150123638,14.500546731872419,0.8279045980631421,0.32075407729342004,-0.4378079003346463,0.6203389863690718,3.429947514545282,11.764539952535356,-0.65316012232693,-0.7572198192083127,-0.4822058478963526,0.8760579434344281,3.468617257082695,12.03130567613188,0.9031590586102676,14.671351075141509
2021-04-21,19.0,19.0,1.393556539947326,1.5083344985768192,-0.2921929541608704,0.9785258188979544,0.9431964659565866,-0.33223549871590435,1.1800985439911331,16.65222096257614,1.2330132120606927,17.030704631809648,1.2342558667842578,17.039592989925154,1.2389218057546074,0.9785258188979544,-0.2921929541608704,1.1649738280150528,4.247848203947363,18.04421436377884,-0.6267266965083301,-0.7792391467859886,-0.5267547528105542,0.8500173118187018,4.2387754659059365,17.96721745036609,1.2402315482313169,17.082335350838775
2021-04-20,21.0,21.0,1.658920664301138,1.7879485076923012,0.16083132282421012,1.3833084291161295,0.9487718864399473,-0.31596187665790293,1.4187900244938128,18.35951367840068,1.5509207318708969,19.304607293667388,1.5568325001052807,19.346892501429938,1.38786672494271,1.3833084291161295,0.16083132282421012,1.432662604458872,4.649847521759856,21.621081975616274,-0.5995514915196489,-0.8003361849976323,-0.5699010576127624,0.8217133225960589,4.625603579253919,21.39620847240667,1.5776555788122937,19.495834099691656
2021-04-19,12.0,12.0,0.46478210470898357,0.5296854666726322,-0.0009630618133186345,0.27015625101614815,0.9540665500578387,-0.2995947563972602,1.4039262202432945,18.25319708648501,0.8516542933946175,14.302952042642545,0.8564795763442121,14.337465928158217,0.6430819836654069,0.27015625101614815,-0.0009630618133186345,0.7084367010372382,3.5622474998787172,12.689607250392172,-0.5716666713027052,-0.8204859638785327,-0.6115298757991053,0.7912213413483807,3.5571470831034517,12.653295370831396,0.8638647592650716,14.39029005484787
2021-04-18,16.0,16.0,0.9955103534166078,1.0889134849035962,-0.2921929541608704,1.180917124007042,0.9590788900341131,-0.28313898122818354,1.1342048354664571,16.323956233138198,1.3717347688155297,18.022940730377545,1.3548764729478227,17.90235810348388,0.9999332930721199,1.180917124007042,-0.2921929541608704,1.274235986416921,4.41193171063667,19.46514141932141,-0.5431052396834317,-0.8396646346181327,-0.6515303615068021,0.75862255966641,4.377815757151273,19.165270803561977,1.3697725167648664,18.00890529590936
2021-04-17,22.0,22.0,1.791602726478044,1.9277555122500423,-0.470166777262152,2.041080170720664,0.9638074231367307,-0.26659942067929354,1.147257525989671,16.41731844030732,1.87685384740453,21.635914774037737,1.8359039538933317,21.343011756476226,1.459676734902707,2.041080170720664,-0.470166777262152,1.7586138692939461,5.139342030437247,26.41283650581884,-0.5139010013093103,-0.8578494977869301,-0.6897960046655887,0.7240037789593305,5.06986279097865,25.703508719349827,1.8659376565568084,21.557834345362124
2021-04-16,24.0,24.0,2.056966850831856,2.2073695213655244,-0.5187050926534107,1.8386888656115765,0.9682507501166718,-0.2499809690726521,1.344163669640642,17.825732448416964,1.6929350479238685,20.32039556909903,1.6935385080478507,20.324711948853327,1.5985579868871431,1.8386888656115765,-0.5187050926534107,1.5760462541075027,4.865172684472878,23.669905249741028,-0.48408852163897587,-0.8750190302029955,-0.7262249146041543,0.6874571793269664,4.829625461365632,23.325282097071195,1.6779661362994143,20.213327173836532
2021-04-15,12.0,12.0,0.46478210470898357,0.5296854666726322,-0.745217231145951,0.8520312532047748,0.9724075561219968,-0.23328854407545518,1.5312730241529617,19.164072791979955,1.0204599794956408,15.510371417909296,1.1229782999213886,16.243655996532873,0.6430819836654069,0.8520312532047748,-0.745217231145951,0.9631099417606717,3.944700848861033,15.560664787004955,-0.45370308603134424,-0.8911529104063088,-0.7607200913564104,0.6490800741100398,3.9705776965358437,15.765487244227886,0.9945406162787016,15.324977536544544
2021-04-14,14.0,14.0,0.7301462290627957,0.8092994757881141,-0.8261144234647153,1.231514950284314,0.9762766110869321,-0.21652708524481437,1.1140854365735267,16.180047857756186,1.1520906504926443,16.45188841423861,1.2367457821603063,17.057402651064272,0.8279045980631421,1.231514950284314,-0.8261144234647153,1.1094585070775453,4.1644785481795825,17.342881578247923,-0.4227806579826773,-0.9062320427107697,-0.7931896839451843,0.6089746507720486,4.156895949085655,17.27978393152473,1.1309325875377507,16.30055076830432
